feature_name,is_selected,importance_column,importance_score,feature_value_by_importance_column
X,True,FeatureFilter_variance,0.0,1.0002765486725667
Y,True,FeatureFilter_variance,0.006699931342154741,1.0002765486725664
Radius,True,FeatureFilter_variance,0.0031747273169457912,1.0002765486725664
AC_COIL_FACTOR of 1103959_69_1133529_YPP,False,FeatureFilter_variance,0.0,2.9515737178689093e-33
AC_COIL_FACTOR of 1103959_69_1133529_cp1_cp1p5,False,FeatureFilter_variance,0.0,2.9515737178689093e-33
AC_COIL_FACTOR of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,False,FeatureFilter_variance,0.0,2.9515737178689093e-33
AC_COIL_FACTOR of 1103959_69_1133592_RPP,False,FeatureFilter_variance,0.0,2.9515737178689093e-33
AC_GAIN_32 of 1103959_69_1133529_cp1,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_32 of 1103959_69_1133529_cp1_cp1p5_YPP,False,FeatureFilter_variance,0.0,1.000276548672566
AC_GAIN_32 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,False,FeatureFilter_variance,0.0,1.000276548672566
AC_GAIN_32 of 1103959_69_1133529_cp1p5,False,FeatureFilter_variance,0.0,1.000276548672566
AC_GAIN_32 of 1103959_69_1133592_QPP,False,FeatureFilter_variance,0.0,1.000276548672566
AC_GAIN_32 of 1103959_69_JPP,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1_cp1p5_YPP,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1_cp1p5_YPP_QPP_RPP,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_1133529_cp1p5,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_1133592_QPP,False,FeatureFilter_variance,0.0,0.0
AC_GAIN_33 of 1103959_69_JPP,False,FeatureFilter_variance,0.0,0.0
AC_ITER of 1103959_69_1133529_YPP,False,FeatureFilter_variance,0.0,0.0
AC_ITER of 1103959_69_1133529_cp1_cp1p5,False,FeatureFilter_variance,0.0,0.0
AC_ITER of 1103959_69_1133529_cp1_cp1p5_YPP_QPP,False,FeatureFilter_variance,0.0,0.0
AC_ITER of 1103959_69_1133592_RPP,False,FeatureFilter_variance,0.0,0.0
